名称,住所,営業日,電話番号
赤から 渋谷宮益坂店,〒150-0002 東京都渋谷区渋谷1-14-8 宮益エスケービルB1,"月～金 ディナー：16:00～23:30
土・日・祝 15:00～23:30",050-3462-5669
やきとりセンター 渋谷センター街店,〒150-0042 東京都渋谷区宇田川町34-5 サイトービルIII B1, 17:00～24:00(L.O.23:00、ドリンクL.O.23:30),050-3476-8278
渋谷ベルゴ,〒150-0002 東京都渋谷区渋谷3-18-7 渋谷東1号館ビルB1,"月～金 17:00～24:00(L.O.23:00、ドリンクL.O.23:30)
土・日・祝 16:00～24:00(L.O.23:00、ドリンクL.O.23:30)",050-3467-3740
博多 もつ楽 渋谷店,〒150-0042 東京都渋谷区宇田川町26-3 サンルイビルB1,"月～土・祝前日 17:00～24:00(L.O.23:00、ドリンクL.O.23:30)
日・祝日 16:00～23:00(L.O.22:00、ドリンクL.O.22:30)",050-3466-5300
ぶっちぎり酒場 渋谷スペイン坂店,〒150-0042 東京都渋谷区宇田川町13-7 小安ビル6F, 16:00～翌5:00,050-3476-2555
biodinamico（ビオディナミコ）,〒150-0041 東京都渋谷区神南1-19-14 クリスタルポイントビル3F, ランチ：11:30～14:30(L.O.14:00)、ディナー：17:30～22:30(L.O.21:30),050-3466-5448
真巴石‐シンバセイ‐ 薬膳火鍋 しゃぶしゃぶ 渋谷店,〒150-0042 東京都渋谷区宇田川町33-12 5F,月～日・祝前日・祝日 12:00～23:30(L.O.23:00、ドリンクL.O.23:00)(※東京都の要請により、8月いっぱいは22時までの営業となります。),050-3464-4368
しぶや畑 ～個室しゃぶしゃぶ～,〒150-0041 東京都渋谷区神南1-23-13 丸大ビル6・7F,"月～金 11:30～23:30(L.O.23:00)
土・日・祝 11:30～23:30(L.O.23:00)",050-3463-9470
肉＆チーズダイニング ニッチーズ ‐Niccheese‐渋谷店,〒150-0043 東京都渋谷区道玄坂1-5-9 ザ・レンガビル3F,"月～金 ディナー：17:00～23:00
土・日・祝 ランチ：12:00～15:00、ディナー：17:00～23:30",050-3469-3621
少人数貸切パーティ Cheers Tokyo,〒150-0043 東京都渋谷区道玄坂2-7-4 清水ビル2F,"月～木 18:30～24:00
金・土・祝前日 18:30～翌2:00",050-3469-7603
牛タンと完全個室 輝 渋谷駅前店,〒150-0002 東京都渋谷区渋谷1-25-6 渋谷パークサイド共同ビル3F," 11:00～24:00(コロナウイルス感染症対策の東京都ロードマップに則り、営業時間を上記の時間までとさせて頂きます。  何卒ご了承くださいませ。)
月～木 13:00～24:00
金・土・祝前日 13:00～翌4:00
日 13:00～23:30",050-3476-8471
牡蠣料理ともつ鍋が旨い個室居酒屋 うみきん‐UMIKIN‐ 渋谷店,〒150-0042 東京都渋谷区宇田川町26-4 Lu82ビル4F, ディナー：16:00～翌2:00(L.O.1:00、ドリンクL.O.1:30),050-3469-6433
個室居酒屋 八吉 渋谷南口店,〒150-0043 東京都渋谷区道玄坂1-3-6 香山ビル1・2F,"月～木 17:00～24:30(営業自粛の要請により営業時間を変更する場合がございます。ご了承下さい。  詳細は店舗までお問い合わせ下さい。)
金・祝前日 17:00～翌4:30(営業自粛の要請により営業時間を変更する場合がございます。ご了承下さい。  詳細は店舗までお問い合わせ下さい。)
土 17:00～23:30(営業自粛の要請により営業時間を変更する場合がございます。ご了承下さい。  詳細は店舗までお問い合わせ下さい。)
日・祝日 15:00～23:00",03-5456-7888
炉端 五代目 よだれ屋 渋谷道玄坂,〒150-0043 東京都渋谷区道玄坂1-11-1 第2大番ビル104, 17:00～24:00(L.O.23:30),050-3476-2694
庄や 渋谷南口店,〒150-0031 東京都渋谷区桜丘町25-17 加藤ビルB1,月～土 11:30～24:00(L.O.23:00、ドリンクL.O.23:30)(自粛要請に則り営業しております。),050-3477-4356
えん 渋谷店,〒150-0002 東京都渋谷区渋谷1-24-12 渋谷東映プラザ11F," ランチ：11:30～15:00(L.O.14:30)
月～土 ディナー：17:00～23:30
日・祝日 16:00～23:30",050-3467-8009
ホルモン焼肉 縁 渋谷店,〒150-0043 東京都渋谷区道玄坂2-16-1 1・2F,月～日・祝前日・祝日 ディナー：17:00～24:00(L.O.23:00、ドリンクL.O.23:30),050-3468-4665
庄や 渋谷センター街店 はなれ,〒150-0042 東京都渋谷区宇田川町25-2 でんえんビルB1・B2,"月～日 11:30～24:00(L.O.23:00、ドリンクL.O.23:30)(自粛要請にのっとり営業しています。)
月～日 ランチ：11:30～16:00",050-3462-7936
鍋とスパイス料理 オニカワラ 渋谷店,〒150-0043 東京都渋谷区道玄坂2-10-1 1～5F, ランチ：11:30～15:00(L.O.14:30)(《テイクアウト》カレー：LO 14:30 ドリンク：（平日） LO 14:30 （土日祝） LO 17:00)、ディナー：17:00～21:00(L.O.20:00、ドリンクL.O.20:00)(土・日・祝日はお休みします。),050-3464-5045
ADENIA,〒150-0035 東京都渋谷区鉢山町1-7, ランチ：11:30～15:30(L.O.14:30)、ディナー：18:00～23:30(L.O.21:30),050-3313-9502
完全個室居酒屋 魚龍 渋谷店,〒150-0042 東京都渋谷区宇田川町26-4 2F," ランチ：12:00～16:00
金・土・祝前日 ディナー：16:00～翌5:00
月～木・日・祝日 ディナー：16:00～24:00",050-3373-2538
焼肉食べ放題 薩摩牛旬 渋谷店,〒150-0041 東京都渋谷区神南1-22-10 7F, ディナー：17:00～24:00(L.O.23:00、ドリンクL.O.23:30)、ランチ：11:00～15:00(L.O.14:00、ドリンクL.O.14:30),050-3159-3444
渋谷 貸切パーティースペース VANDALISM,〒150-0042 東京都渋谷区宇田川町26-9 太田ビルB1, ランチ：11:00～17:00、ディナー：17:00～24:00(L.O.23:30)(※営業時間が22:00まで(L.O.21:00)となっております。詳しくはお店へお問い合わせ下さい。)、ランチ・ディナー：11:00～24:00(L.O.23:00、ドリンクL.O.23:30),050-3466-7802
マスダ亭,〒150-0042 東京都渋谷区宇田川町22-1,"月～木・土・日・祝前日・祝日 12:00～22:10(L.O.21:30、ドリンクL.O.21:50)
金 17:00～22:15(L.O.21:30、ドリンクL.O.21:50)(※ランチメニューは12:00～15:00のご提供となります。  当面の間自粛営業の為、場合によっては営業時間の変更をさせていただく可能性もございますのでご了承ください。)",050-3373-0084
生焼きホルモン 元家別邸,〒150-0042 東京都渋谷区宇田川町11-5," 12:00～24:00(L.O.23:00)
日 12:00～22:00(L.O.21:00)",050-3491-0758
渋谷貸切パーティーラウンジ JEEKAHN’S（ジーカンズ）,〒150-0044 東京都渋谷区円山町2-4 ドクタージーカンズビル4～6F,月～日・祝前日・祝日 9:00～23:00,050-3373-2167
黒毛和牛と焼肉食べ放題 牛丸 渋谷店,〒150-0042 東京都渋谷区宇田川町30-5 渋谷JOWビル8F," ランチ：12:00～16:00(※土日祝日のみの営業となっております。)
月～木・日・祝日 ディナー：16:00～翌1:00(L.O.24:30)
金・土・祝前日 ディナー：16:00～翌4:00",050-3373-6204
炭火シュラスコ＆シカゴピザ Calluna 渋谷店,〒150-0043 東京都渋谷区道玄坂1-5-5 藤木ビル3F, 14:00～24:00,050-3373-1327
完全個室 鰻はなぶさ 渋谷本店,〒150-0002 東京都渋谷区渋谷1-15-20, ランチ：11:30～15:00(L.O.14:30)、ディナー：17:30～22:00(L.O.21:30),050-3461-0293
Lycopene Monsoon ‐リコピンモンスーン‐ 渋谷店,〒150-0002 東京都渋谷区渋谷3-18-5 佐藤エステートビル新館3F, 11:00～15:00(L.O.15:00、ドリンクL.O.15:00)、17:00～24:00(L.O.23:30、ドリンクL.O.23:30),050-3461-9403
圭助 渋谷センター街,〒150-0042 東京都渋谷区宇田川町28-12 アダチビルB1, ランチ：12:00～15:00(L.O.14:30、ドリンクL.O.14:30)、ディナー：17:00～23:00(L.O.22:00、ドリンクL.O.22:30),050-3476-4239
GOBLIN． 渋谷スクランブルスクエア店,〒150-6117 東京都渋谷区渋谷2-24-12 渋谷スクランブルスクエア17F, 8:00～22:00(（要予約）),050-3466-7711
